state,year,outbreak,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16
Gujarat,2023,0,0.0,0.0,0.0,6.0380836,8.508111,6.207882,0.0,0.0,9.708089,0.0,0.0,0.0,8.637143,7.834643,0.0,0.0
Haryana,2023,0,0.0,0.0,0.0,6.082978,8.78966,6.340845,0.0,0.0,10.022543,0.0,0.0,0.0,8.926084,7.9473495,0.0,0.0
Himachal Pradesh,2023,0,1.6461006,1.6162473,1.8755647,2.8612082,4.3453894,3.0959742,1.9781618,1.91446,4.9339347,1.4220529,1.9523158,1.9152753,4.383196,3.6160977,1.2310243,1.5763669
Jammu and Kashmir,2023,0,1.4930942,1.3003542,1.9069054,0.0,0.0,0.0,1.5229895,1.4125025,0.0,1.598731,1.5625769,1.453137,0.0,0.0,1.2564912,1.604793
Jharkhand,2023,0,0.4971575,0.5388978,0.1486172,4.296685,6.311072,4.5322475,0.591509,0.74711734,7.23969,0.07682508,0.7335368,0.7248867,6.441058,5.626744,0.25808722,0.28211516
Karnataka,2023,0,0.036754996,0.11359401,0.0,4.1818476,6.0945134,4.3842583,0.01709836,0.20043269,6.993441,0.0,0.20339201,0.19488306,6.2245965,5.5209637,0.0,0.0
Kerala,2023,0,1.7044412,1.595344,2.0692139,0.8449754,1.4101614,0.9737253,1.8666334,1.7409984,1.6307684,1.6670401,1.8740948,1.7560493,1.405957,1.0282106,1.3670079,1.745076
Ladakh,2023,0,6.381229,5.6598377,8.573723,0.0,0.0,0.0,7.635847,6.639247,0.0,6.782603,7.245545,6.9704933,0.0,0.0,5.094095,6.4307303
Lakshadweep,2023,0,7.1129007,6.345453,9.664104,0.0,0.0,0.0,8.663355,7.501312,0.0,7.603526,8.131431,7.878322,0.0,0.0,5.659603,7.1491814
Madhya Pradesh,2023,1,0.0,0.0,0.0,7.5484858,10.588077,7.7586455,0.0,0.0,12.070832,0.0,0.0,0.0,10.728742,9.743051,0.0,0.0
Maharashtra,2023,1,0.0,0.0,0.0,7.464533,10.33938,7.649047,0.0,0.0,11.834425,0.0,0.0,0.0,10.514522,9.609131,0.0,0.0
Manipur,2023,0,3.044653,2.7472007,4.056005,0.0,0.0,0.0,3.435129,3.0679402,0.0,3.2617414,3.3531182,3.1804914,0.0,0.0,2.4882765,3.2250953
Meghalaya,2023,0,1.7936115,1.5989212,2.3210747,0.0,0.0,0.0,1.8879306,1.7246771,0.0,1.9112369,1.9002812,1.7787366,0.0,0.0,1.4925488,1.9254457
Mizoram,2023,0,2.9759119,2.673362,3.957633,0.0,0.0,0.0,3.3522294,2.9960124,0.0,3.185776,3.2747583,3.1052375,0.0,0.0,2.430954,3.14019
Nagaland,2023,0,2.4486783,2.148904,3.2117143,0.0,0.0,0.0,2.697383,2.42664,0.0,2.6187873,2.6739798,2.5118096,0.0,0.0,2.0077527,2.5556161
Odisha,2023,0,0.3124612,0.34678176,0.0,4.0189433,5.887937,4.230314,0.33478725,0.50911826,6.772125,0.0,0.5097178,0.48849505,6.02506,5.2952676,0.12997265,0.0948323
Puducherry,2023,0,5.413908,4.7660904,7.2110133,0.0,0.0,0.0,6.3866363,5.574328,0.0,5.7305846,6.105523,5.8453035,0.0,0.0,4.331086,5.4414744
Punjab,2023,0,0.45672876,0.47895136,0.1370565,3.6603959,5.378382,3.8651257,0.4933972,0.6329384,6.1954427,0.1048771,0.64898413,0.61531895,5.505177,4.816201,0.2590819,0.2736559
Rajasthan,2023,0,0.0,0.0,0.0,7.7600355,10.923054,7.972644,0.0,0.0,12.438326,0.0,0.0,0.0,11.05376,10.015477,0.0,0.0
Sikkim,2023,0,2.707383,2.5216894,3.584471,0.0,0.0,0.0,2.9839299,2.670979,0.0,2.8668697,2.9145114,2.7752397,0.0,0.0,2.223894,2.9552488
Tamil Nadu,2023,0,0.0,0.0,0.0,4.033162,5.8019047,4.186721,0.0,0.0,6.6343665,0.0,0.0,0.0,5.9052606,5.332293,0.0,0.0
Telangana,2023,0,0.06348519,0.15268192,0.0,4.618209,6.726839,4.8407536,0.08291456,0.27828333,7.7105756,0.0,0.25624773,0.26415214,6.8632402,6.075462,0.0,0.0
Tripura,2023,0,2.5956771,2.3167646,3.4180784,0.0,0.0,0.0,2.8696346,2.577587,0.0,2.768687,2.8292081,2.669366,0.0,0.0,2.1273253,2.7378304
Uttar Pradesh,2023,1,0.0,0.0,0.0,12.150582,16.643314,12.393274,0.0,0.0,19.15395,0.0,0.0,0.0,16.852236,15.691956,0.0,0.0
Uttarakhand,2023,0,1.2267205,1.2214009,1.2349603,3.4932315,5.217071,3.7288988,1.4759173,1.4986309,5.9483356,0.91751665,1.5110157,1.4860431,5.2900624,4.483878,0.8684224,1.0957596
West Bengal,2023,0,0.0,0.0,0.0,2.5186875,3.5988398,2.634416,0.0,0.0,4.146782,0.0,0.0,0.0,3.7309546,3.3798625,0.0,0.0
